cases,cases.pm,pr,wspd,rh,tdew,tmax,tmin,insol,tmoy,ah,Regions
270673,6066.639822,26.95,3.801733068,22.67455179,-0.109133466,34.02948207,18.405,21.69511493,25.81359562,4.943049438,NAf
103131,3039.1991,3655.98,0.905996016,65.45931275,13.40533865,28.13587649,16.23511952,20.01585052,21.73761952,12.43358711,CAf
27638,2219.73586,3144.78,2.06063745,66.23203187,18.23260956,32.97945219,21.44766932,18.69155846,26.63197211,16.58493077,WAf
326308,136118.2026,1335.75,2.792908367,43.2085259,7.424920319,30.07522908,15.21682271,20.92499511,22.39960159,8.863803892,SAf
21631,1006.228888,2208.65,2.32809761,50.24482072,14.119751,35.17917331,22.2761753,20.92095011,28.2288745,13.77928446,WAf
50193,4095.572664,6329.05,0.613954183,81.67795817,14.74843625,23.95373506,13.98615538,17.57746874,18.33949203,12.82198693,EAf
62374,111005.3194,618.32,5.627340637,81.14831673,20.3034761,24.42709163,23.1073506,20.4458511,23.73954183,17.52875457,WAf
121652,4468.514151,4603.04,1.037041833,84.69541833,20.79489044,28.11246016,20.65466135,16.21896347,23.89696215,18.26641401,CAf
14913,3031.10557,4714.5,1.684432271,73.61895418,18.79002988,30.21991036,19.96284861,19.46345671,24.74476096,16.55963805,CAf
7583,448.3007227,636.52,3.392270916,28.09513944,4.610756972,35.81813745,20.89418327,23.90637815,27.86101594,7.897614314,CAf
8471,9534.51831,3494.98,4.025338645,76.73694223,22.459751,27.27840637,26.4499004,20.57184001,26.8761255,19.70440047,SAf
24837,4390.476465,5180.85,0.206932271,86.75195219,22.41907371,28.68028884,21.75173307,16.94382624,24.95577689,19.91075961,CAf
92893,1005.575073,4564.68,0.301733068,81.26345618,21.03870518,28.91610558,21.54249004,16.961048,24.96793825,18.54505106,CAf
87208,3223.523173,4536.24,1.582450199,77.62497012,21.21825697,30.74008964,21.82484064,17.67765226,25.99069721,18.88892348,WAf
15690,15655.60464,1127.28,3.761962151,57.64477092,16.74015936,34.15437251,22.54429283,21.96594922,27.57006972,14.90308733,EAf
515645,4945.839962,16.27,3.139252988,38.72128486,5.148177291,30.1487749,15.31580677,23.62447336,22.35133466,7.306701746,NAf
17012,11733.29581,6599.26,0.993844622,88.99512948,22.57648406,28.00177291,22.45786853,15.15635406,24.63785857,20.08648692,CAf
10170,2784.330217,1186.48,2.80812749,51.02636454,18.27584661,36.14718127,26.8714741,20.55665651,30.93159363,15.91986561,EAf
73390,62599.74462,2250.64,1.814601594,65.17238048,10.95312749,27.11780876,12.99037849,17.29043202,19.12805777,10.98432222,SAf
492631,4179.222704,3513.33,2.128187251,61.2198008,12.23006972,28.14093625,15.76466135,22.67472209,21.32955179,11.37081031,EAf
48691,21366.6756,4169.91,0.062749004,79.85832669,20.95003984,29.75830677,21.61596614,14.93663232,25.17077689,18.44734861,CAf
12508,5029.480039,3664.07,2.477171315,56.36592629,15.78192231,34.63184263,22.1935757,20.87162506,28.00500996,14.98027946,WAf
169100,5328.983924,3815.51,1.890159363,71.72660359,20.87584661,32.84408367,22.66910359,17.88222051,27.32157371,18.69386401,WAf
37652,2789.607977,6675.52,1.8062251,72.07969124,18.66218127,30.82988048,20.22998008,19.20486496,25.13532869,16.69828876,WAf
8796,4364.199277,6406.44,2.223007968,67.91332669,19.37483068,33.14374502,22.49166335,19.65190823,27.29466135,17.57710485,WAf
338434,6154.945517,1524.92,1.349501992,59.28251992,15.93141434,32.8810757,19.80159363,19.50333992,25.57696215,14.05192041,EAf
34490,15974.49269,2910.71,2.151394422,64.01951195,2.044322709,16.23663347,3.921503984,18.95616373,9.538884462,6.166003161,SAf
7961,1536.810877,7472.23,1.489750996,87.03476096,22.51312749,29.02608566,21.84455179,16.70833801,25.01804781,20.07921654,WAf
506994,72859.27015,43.58,3.574621514,30.55467131,2.13,31.37777888,15.63035857,22.68663938,23.23305777,5.999179481,NAf
66676,2345.489111,4767.31,2.605547809,79.21609562,13.83323705,24.14865538,13.16736056,21.21488025,18.0274502,12.33713506,SAf
88028,4480.325184,3823.25,3.817679283,62.48726096,17.1222012,29.01200199,21.84777888,20.19979731,25.48333665,14.79206948,SAf
32638,1564.942075,423.06,3.046135458,26.65035857,5.469920319,36.3912749,22.42899402,23.20680592,29.01071713,8.27409938,WAf
62815,13154.67078,812.25,3.392171315,26.55742032,3.981324701,34.25572709,19.9559761,22.62748244,26.66262948,6.876543637,NAf
262648,207453.0433,2134.12,5.894561753,74.99646414,19.89931275,26.03550797,23.58448207,19.73790257,24.66912351,17.11731836,SAf
1264945,33872.06359,1007.47,2.025199203,48.06890438,5.632639442,27.20101594,13.12364542,20.79122786,19.33491036,7.710423421,NAf
229932,7148.949983,3230.28,2.33125498,71.69164343,18.84193227,31.70339641,20.41005976,18.89831644,25.31501992,16.936664,SAf
169253,65415.73134,1002.74,2.829153386,37.24579681,3.156414343,29.37261952,12.81842629,22.35409999,20.66232072,6.92391896,SAf
9405,374.2418171,614.62,3.324013944,22.29559761,1.261513944,36.13196215,21.08047809,23.32424528,28.06583665,6.354222425,WAf
265382,1255.350597,4173.61,2.168824701,62.90681275,15.1025,31.19343625,20.69492032,19.04910928,25.24820717,14.27105009,WAf
132500,9980.027141,5004.57,1.283535857,80.51955179,15.22464143,24.32835657,14.59354582,16.82047912,19.02679283,13.14070458,EAf
6230,27891.69248,3120.38,3.571822709,82.82261952,23.36551793,26.85350598,26.12749004,16.70749247,26.51251992,20.79726661,CAf
88398,5140.522024,1997.54,2.837719124,44.4012749,12.01848606,36.56232072,23.02125498,21.27425275,29.40414343,12.62507605,WAf
47141,475202.1129,3872.99,4.630776892,80.13215139,23.73488048,27.77488048,27.0827988,20.92400434,27.4614243,21.16874319,EAf
7751,952.054225,10044.57,1.579800797,79.46559761,21.81820717,31.26062749,22.56065737,18.12242185,26.4134761,19.65159427,WAf
27214,1663.498273,1271.63,4.594701195,58.86478088,18.07982072,34.96959163,22.45850598,22.44249394,28.15708167,16.12998549,EAf
4002981,66669.68566,778.45,3.128575697,42.79251992,2.523326693,26.28162351,9.884551793,21.16181516,17.67734064,6.577254741,SAf
17823,1565.979231,3494.09,2.117340637,63.22633466,18.36282869,33.07535857,22.70496016,18.85402428,27.58294821,16.3510847,EAf
63285,1409.172001,1865.54,3.059780876,40.52401394,8.087619522,33.94200199,19.66313745,22.01122246,26.31323705,10.11098201,NAf
39440,641.3171014,3779.15,2.495557769,73.3238247,15.81244024,27.87635458,16.39530876,21.19235279,21.62707171,13.906504,EAf
38394,4528.533156,4570.11,1.720786853,76.08257968,20.39739044,30.67991036,21.34679283,18.11228617,25.59041833,18.09805841,WAf
1145686,95987.65525,202.31,3.227609562,49.84605578,8.486673307,28.89749004,15.3934761,20.52735366,21.60032869,9.575400183,NAf
